1st_place_medal|1st place medal
nine_oclock|Nine oclock
no_bicycles|No bicycles
no_entry|No entry
no_littering|No littering
no_mobile_phones|No mobile phones
no_one_under_eighteen|No one under eighteen
no_pedestrians|No pedestrians
no_smoking|No smoking
non-potable_water|Non-potable water
notebook|Notebook
notebook_with_decorative_cover|Notebook with decorative cover
nut_and_bolt|Nut and bolt
o_button_(blood_type)|O button blood type
octopus|Octopus
oden|Oden
office_building|Office building
ogre|Ogre
oil_drum|Oil drum
ok_button|Ok button
old_key|Old key
olive|Olive
om|Om
on!_arrow|On! arrow
oncoming_automobile|Oncoming automobile
oncoming_bus|Oncoming bus
oncoming_police_car|Oncoming police car
oncoming_taxi|Oncoming taxi
one-piece_swimsuit|One-piece swimsuit
one-thirty|One-thirty
one_oclock|One oclock
onion|Onion
open_book|Open book
open_file_folder|Open file folder
open_mailbox_with_lowered_flag|Open mailbox with lowered flag
open_mailbox_with_raised_flag|Open mailbox with raised flag
ophiuchus|Ophiuchus
optical_disk|Optical disk
orange_book|Orange book
orange_circle|Orange circle
orange_heart|Orange heart
orange_square|Orange square
orangutan|Orangutan
orthodox_cross|Orthodox cross
otter|Otter
outbox_tray|Outbox tray
owl|Owl
ox|Ox
oyster|Oyster
p_button|P button
package|Package
page_facing_up|Page facing up
page_with_curl|Page with curl
pager|Pager
paintbrush|Paintbrush
palm_tree|Palm tree
pancakes|Pancakes
panda|Panda
paperclip|Paperclip
parachute|Parachute
parrot|Parrot
part_alternation_mark|Part alternation mark
party_popper|Party popper
partying_face|Partying face
passenger_ship|Passenger ship
passport_control|Passport control
pause_button|Pause button
paw_prints|Paw prints
pea_pod|Pea pod
peace_symbol|Peace symbol
peach|Peach
peacock|Peacock
peanuts|Peanuts
pear|Pear
pen|Pen
pencil|Pencil
penguin|Penguin
pensive_face|Pensive face
people_hugging|People hugging
performing_arts|Performing arts
persevering_face|Persevering face
person_fencing|Person fencing
person_genie|Person genie
person_with_bunny_ears|Person with bunny ears
person_wrestling|Person wrestling
person_zombie|Person zombie
petri_dish|Petri dish
phoenix_bird|Phoenix bird
pick|Pick
pickup_truck|Pickup truck
pie|Pie
pig|Pig
pig_face|Pig face
pig_nose|Pig nose
pile_of_poo|Pile of poo
pill|Pill
pine_decoration|Pine decoration
pineapple|Pineapple
ping_pong|Ping pong
pink_heart|Pink heart
pirate_flag|Pirate flag
pisces|Pisces
pizza|Pizza
piñata|Piñata
placard|Placard
place_of_worship|Place of worship
play_button|Play button
play_or_pause_button|Play or pause button
playground_slide|Playground slide
pleading_face|Pleading face
plunger|Plunger
plus|Plus
polar_bear|Polar bear
police_car|Police car
police_car_light|Police car light
poodle|Poodle
pool_8_ball|Pool 8 ball
popcorn|Popcorn
post_office|Post office
postal_horn|Postal horn
postbox|Postbox
pot_of_food|Pot of food
potable_water|Potable water
potato|Potato
potted_plant|Potted plant
poultry_leg|Poultry leg
pound_banknote|Pound banknote
pouring_liquid|Pouring liquid
pouting_cat|Pouting cat
pouting_face|Pouting face
prayer_beads|Prayer beads
pretzel|Pretzel
printer|Printer
prohibited|Prohibited
purple_circle|Purple circle
purple_heart|Purple heart
purple_square|Purple square
purse|Purse
pushpin|Pushpin
puzzle_piece|Puzzle piece
rabbit|Rabbit
rabbit_face|Rabbit face
raccoon|Raccoon
racing_car|Racing car
radio|Radio
radio_button|Radio button
radioactive|Radioactive
railway_car|Railway car
railway_track|Railway track
rainbow|Rainbow
rainbow_flag|Rainbow flag
ram|Ram
rat|Rat
razor|Razor
receipt|Receipt
record_button|Record button
recycling_symbol|Recycling symbol
red_apple|Red apple
red_circle|Red circle
red_envelope|Red envelope
red_exclamation_mark|Red exclamation mark
red_heart|Red heart
red_paper_lantern|Red paper lantern
red_question_mark|Red question mark
red_square|Red square
red_triangle|Red triangle
red_triangle_pointed_down|Red triangle pointed down
registered|Registered
relieved_face|Relieved face
reminder_ribbon|Reminder ribbon
repeat_button|Repeat button
repeat_single_button|Repeat single button
rescue_workers_helmet|Rescue workers helmet
restroom|Restroom
reverse_button|Reverse button
revolving_hearts|Revolving hearts
rhinoceros|Rhinoceros
ribbon|Ribbon
rice_ball|Rice ball
rice_cracker|Rice cracker
